fips,county,state,i_republican_2016,n_votes_republican_2012,n_votes_democrat_2012,n_votes_other_2012,n_votes_total_2012,i_republican_2012,pop,pop_pct_change,pop_pct_below18,pop_pct_above65,pop_pct_female,pop_pct_asian,pop_pct_black,pop_pct_native,pop_pct_pacific,pop_pct_white,pop_pct_multiracial,pop_pct_hispanic,pop_pct_foreign,pop_pct_nonenglish,pop_pct_bachelors,pop_pct_veteran,pop_pct_homeowner,pop_pct_poverty,home_median_value,persons_per_hh,income_pc,income_median_hh,n_firms,land_area_mi2
01001,autauga,alabama,1,17379,6363,190,23932,1,55395,1.5,25.2,13.8,51.4,1.1,18.7,0.5,0.1,77.9,1.8,2.7,1.6,3.5,20.9,5922,76.8,12.1,136200,2.71,24571,53682,4067,594.44
01003,baldwin,alabama,1,66016,18424,898,85338,1,200111,9.8,22.2,18.7,51.2,0.9,9.6,0.7,0.1,87.1,1.6,4.6,3.6,5.5,27.7,19346,72.6,13.9,168600,2.52,26766,50221,19035,1589.78
01005,barbour,alabama,1,5550,5912,47,11509,0,26887,-2.1,21.2,16.5,46.6,0.5,47.6,0.6,0.2,50.2,0.9,4.5,2.9,5,13.4,2120,67.7,26.7,89200,2.66,16829,32911,1667,884.88
01007,bibb,alabama,1,6132,2202,86,8420,1,22506,-1.8,21,14.8,45.9,0.2,22.1,0.4,0.1,76.3,0.9,2.1,1.2,2.1,12.1,1327,79,18.1,90500,3.03,17427,36447,1385,622.58
01009,blount,alabama,1,20757,2970,279,24006,1,57719,0.7,23.6,17,50.5,0.3,1.8,0.6,0.1,96,1.2,8.7,4.3,7.3,12.1,4540,81,15.8,117100,2.7,20730,44145,4458,644.78
01011,bullock,alabama,0,1251,4061,10,5322,0,10764,-1.4,21.4,14.9,45.3,0.3,70.1,0.8,0.7,26.9,1.1,7.5,5.4,5.2,12.5,636,74.3,21.6,70600,2.73,18628,32033,417,622.81
01013,butler,alabama,1,5087,4374,35,9496,1,20296,-3.1,23.6,18,53.6,0.9,44,0.4,0,53.9,0.8,1.2,0.8,1.7,14,1497,70.3,28.4,74700,2.47,17403,29918,1769,776.83
01015,calhoun,alabama,1,30278,15511,468,46257,1,115916,-2.3,22.2,16,51.8,0.9,21.1,0.5,0.1,75.8,1.7,3.5,2.4,4.5,16.1,11385,68.7,21.9,100600,2.54,20828,39962,8713,605.87
01017,chambers,alabama,1,7626,6871,114,14611,1,34076,-0.3,21.4,18.3,52.3,0.8,39.5,0.3,0.1,58.3,1.1,2,1.1,1.3,11.8,2691,67.9,24.1,81200,2.46,19291,32402,1981,596.53
01019,cherokee,alabama,1,7506,2132,141,9779,1,26037,0.2,20.4,20.9,50.2,0.3,4.6,0.5,0,93,1.6,1.5,0.7,1.1,12.8,2174,76.1,21.2,99400,2.2,22030,34907,2180,553.7
01021,chilton,alabama,1,13932,3397,133,17462,1,43931,0.7,24.2,15.2,50.8,0.4,10.6,0.5,0.2,87.1,1.2,7.7,5.2,7.4,12.9,3308,74.5,19.5,102600,2.67,20701,41250,0,692.85
01023,choctaw,alabama,1,4152,3786,30,7968,1,13323,-3.9,20.6,20.8,52.5,0.3,42.4,0.2,0,56.6,0.5,0.8,0.3,1.3,11.8,938,83.7,21.5,58200,2.45,20323,33941,1102,913.5
01025,clarke,alabama,1,7470,6334,47,13851,1,24945,-3.5,22.6,18,52.8,0.5,44.2,0.4,0,54,0.8,1.3,0.3,1.3,11.2,1583,72.9,29.3,85600,2.63,18979,29357,2374,1238.47
01027,clay,alabama,1,4817,1777,68,6662,1,13552,-2.7,21.6,19.4,50.6,0.3,14.5,0.6,0,82.8,1.8,3.4,2.2,3.3,9.2,1076,75,19,79900,2.38,18694,34002,1005,603.96
01029,cleburne,alabama,1,5272,971,62,6305,1,15080,0.7,23.3,18.4,50.4,0.2,3.6,0.4,0.1,94.5,1.2,2.5,1.5,2.3,9,989,77.6,18.4,100800,2.64,19108,38019,1280,560.1
